Probe	Gene	c151	c152	c153	c155	c156	c159	c160	c161	c162	c163	c164	c165	c166	c167	c168	c169	c170	c171	c172	c173	c174	c175	c179	c180	c181	c184	c185	c186	c188	c189	c191	c192	c193	c194	c195	c197	c199	c200	c201	c202	c203	c205	c206	c207	c208	d122	d123	d124	d125	d126	d128	d130	d131	d132	d133	d134	d136	d137	d138	d139	d140	d141	d142	d143	d144	d145	d148	d149	d150	u127	u129	u135	u146	u147	u154	u157	u158	u176	u177	u178	u182	u183	u187	u190	u196	u198	u204
cg02790305	SORBS2	0.3952816	0.2587694	0.3986507	0.4349363	0.5350692	0.3738298	0.4816248	0.3979775	0.4058442	0.4761515	0.3851669	0.5413553	0.3710692	0.476893	0.4683711	0.4130015	0.5132185	0.365765	0.5069912	0.3297802	0.4106161	0.3303995	0.4294555	0.5140759	0.3113484	0.3383085	0.537442	0.5253579	0.4900332	0.5283297	0.4511545	0.3068858	0.437432	0.4970619	0.4809127	0.4900171	0.2183809	0.3955876	0.4390307	0.4530421	0.4042708	0.70126	0.407732	0.5093897	0.6538766	0.09268674	0.07716371	0.1277632	0.1137206	0.1331256	0.1484849	0.06903958	0.2029031	0.1451242	0.1511737	0.08868591	0.1148017	0.1006231	0.1593636	0.08420295	0.1678449	0.1174527	0.09188446	0.1070032	0.08291139	0.1803778	0.2310262	0.08695652	0.2761646	0.17339	0.07540885	0.1064728	0.2136054	0.1567164	0.4591072	0.4488395	0.4651588	0.5058177	0.5360038	0.337206	0.3985065	0.3474614	0.3215968	0.4736455	0.5016579	0.3177672	0.4446759
cg00611789	CMYA5	0.8415476	0.7786147	0.704583	0.8791299	0.626521	0.7284306	0.7664049	0.8139812	0.6750298	0.8507881	0.7238154	0.6678182	0.8474906	0.7318161	0.8111975	0.6591659	0.6652324	0.86	0.8614811	0.751452	0.8459418	0.849857	0.7299947	0.8966095	0.803349	0.9033471	0.8573318	0.8838986	0.8978952	0.774842	0.584649	0.8845882	0.719817	0.9247838	0.8451228	0.7976856	0.6681427	0.8828041	0.6195726	0.8688645	0.8426812	0.898486	0.925631	0.815101	0.6369586	0.5609155	0.5567169	0.4819965	0.4724725	0.6427833	0.6021202	0.520817	0.3657328	0.4610198	0.4486468	0.4792564	0.4354149	0.5899853	0.6229022	0.4998869	0.4587321	0.4125984	0.6432087	0.4378316	0.4365188	0.534159	0.5330779	0.5563695	0.368187	0.570446	0.523108	0.5713798	0.5921406	0.388617	0.6876998	0.7901461	0.7120582	0.7349298	0.8332479	0.7848052	0.7934644	0.7066747	0.7627439	0.9123059	0.8028923	0.8273416	0.9159131
cg02725398	PRRT3	0.2052414	0.2934455	0.3082488	0.3044104	0.2260778	0.2148407	0.2385234	0.1702651	0.2713825	0.1885761	0.2838622	0.1948715	0.3228326	0.3080116	0.3410649	0.1385503	0.1866387	0.2501408	0.2463343	0.2220927	0.3015307	0.3493181	0.2938599	0.2609603	0.3625566	0.3879874	0.2281852	0.2690976	0.2526773	0.2202175	0.1609872	0.3241182	0.2898782	0.2350831	0.3188972	0.3093926	0.2048389	0.2445143	0.1303075	0.3058942	0.2990237	0.2648267	0.2367395	0.173008	0.4092674	0.813834	0.7175192	0.7728933	0.7909615	0.7742276	0.5936534	0.548768	0.491112	0.6927969	0.7290114	0.6402215	0.6234553	0.6487863	0.715305	0.7816122	0.6279648	0.3604665	0.6153702	0.4222986	0.6117983	0.7635522	0.6854484	0.5551747	0.6878474	0.702123	0.668383	0.751157	0.7328418	0.6829541	0.2690666	0.2342458	0.1728304	0.1893811	0.2088413	0.2023342	0.3092957	0.2275514	0.2429048	0.2879786	0.4107083	0.1879651	0.4057685
cg14157435	NRP2	0.5820825	0.4973963	0.5811129	0.511324	0.7090192	0.4621025	0.3688742	0.7197356	0.4810115	0.7261091	0.6215836	0.7231469	0.4840429	0.7163001	0.5820343	0.7180764	0.5158295	0.6061115	0.2263234	0.84525	0.4984551	0.6861048	0.6311084	0.7008776	0.6489146	0.559778	0.6096078	0.701979	0.5061376	0.519851	0.5310397	0.7302228	0.5319361	0.6791413	0.3872886	0.6295017	0.6759666	0.7122816	0.3445209	0.7159286	0.5451337	0.8881829	0.4014931	0.4757479	0.5978478	0.2633174	0.2557481	0.2380694	0.6436074	0.2387581	0.5926535	0.5076901	0.2598823	0.3869267	0.2093935	0.2498153	0.2129655	0.1708418	0.2946219	0.2529696	0.3682348	0.1488414	0.3116471	0.1713064	0.4174556	0.3990536	0.3723123	0.2350135	0.2878217	0.5715761	0.3240601	0.3718343	0.3748366	0.4017235	0.750967	0.7510016	0.6001682	0.7123159	0.5903491	0.5743414	0.6436418	0.8334051	0.6974254	0.5966325	0.831482	0.510002	0.6399682
cg25321703	CXADR	0.09107339	0.08314514	0.09509648	0.1169203	0.1312186	0.1108133	0.104376	0.1293118	0.1137349	0.09578464	0.1050029	0.09988495	0.1087902	0.1204532	0.1082398	0.1113252	0.1096695	0.1143005	0.104817	0.1095305	0.1150125	0.1091654	0.1146256	0.09169961	0.08541652	0.1015315	0.1017573	0.1124711	0.09640762	0.0886252	0.1067961	0.09760589	0.09700195	0.09512962	0.1046512	0.1111978	0.1355359	0.1462432	0.1228809	0.1216959	0.1250543	0.1395765	0.111983	0.1168549	0.1151217	0.09220501	0.08368281	0.1093256	0.1213988	0.1104354	0.1182864	0.09487335	0.1008435	0.1099463	0.09660879	0.1033731	0.0943735	0.0928369	0.09262083	0.1237146	0.1169414	0.1163706	0.08047852	0.1127311	0.09562355	0.1136091	0.1117244	0.09921821	0.1011256	0.1079259	0.1099398	0.0858564	0.1083261	0.1131722	0.124939	0.09867992	0.09594461	0.1049118	0.1146034	0.10519	0.09844919	0.1293507	0.09811752	0.1090817	0.114524	0.1146827	0.09832283
cg18355337	GP6	0.4287729	0.8224236	0.5777004	0.4475845	0.5509905	0.42832	0.7303861	0.4566534	0.5802673	0.5507435	0.6187717	0.6268688	0.7998953	0.6940576	0.824394	0.6913775	0.72	0.6034783	0.7966046	0.547851	0.7126795	0.5979266	0.5334875	0.7908394	0.7641097	0.4850215	0.4474095	0.8136634	0.4664451	0.5777249	0.8085753	0.5734926	0.6303439	0.6876566	0.6748274	0.5604646	0.5383168	0.5838707	0.591852	0.7895491	0.492069	0.2342438	0.4620275	0.590457	0.7579094	0.05077735	0.1194001	0.1594658	0.1357397	0.1706488	0.5893732	0.2149703	0.1853484	0.09623212	0.1959756	0.3072565	0.1427025	0.2074862	0.1725499	0.1856358	0.2283481	0.1131934	0.1739426	0.2038117	0.2036214	0.3182313	0.2159925	0.2944655	0.2591428	0.268225	0.1307589	0.2967752	0.2024237	0.1237833	0.7363113	0.5186749	0.5785943	0.4489026	0.6728428	0.5518287	0.3755123	0.4643729	0.3128191	0.3810579	0.7611867	0.6193158	0.4704861
cg05289022	TMEM131	0.6051137	0.5972704	0.6518409	0.5531329	0.646871	0.6887885	0.6305462	0.614216	0.5882951	0.6142491	0.6832165	0.625468	0.7457522	0.6893108	0.6572387	0.5805691	0.5987034	0.7086553	0.5668581	0.6640357	0.6850659	0.5860466	0.6478623	0.6342619	0.608937	0.5508025	0.6070659	0.618225	0.6434523	0.4949869	0.5081913	0.606814	0.6165718	0.6370949	0.6621035	0.6357023	0.518427	0.6746498	0.4602089	0.6537439	0.6420453	0.5108014	0.6032167	0.6583519	0.5266472	0.1652198	0.3973202	0.4831034	0.3667643	0.3556027	0.4603129	0.3901463	0.2961083	0.3690149	0.3652813	0.3747962	0.2553453	0.2424054	0.3636644	0.4242475	0.2641702	0.2383995	0.2871327	0.3313207	0.3799322	0.3658721	0.2992661	0.356255	0.3539093	0.279302	0.3215683	0.3241485	0.3461876	0.2481308	0.6094955	0.674624	0.6550734	0.6111764	0.6107457	0.6914722	0.58473	0.5091633	0.6193597	0.610414	0.6209146	0.5658112	0.6196951
cg11846174	SEMA5B	0.8277059	0.849925	0.783013	0.7979615	0.8173974	0.7929096	0.8160725	0.7157001	0.7736913	0.8324299	0.7617528	0.7660218	0.7815943	0.8417934	0.8361176	0.7924418	0.7611273	0.7533235	0.7942813	0.820806	0.8163816	0.8202289	0.7892393	0.8487201	0.809575	0.830161	0.7810153	0.8261462	0.7994664	0.804884	0.7778175	0.8963993	0.7319102	0.8622207	0.7619048	0.8046365	0.7551886	0.8158222	0.7629133	0.8191433	0.7483706	0.7072539	0.8283749	0.8012863	0.7913486	0.7459441	0.7572344	0.7369769	0.7316332	0.7037969	0.7538826	0.7103869	0.7775735	0.7533888	0.7936016	0.761593	0.683814	0.6812749	0.7231793	0.7438286	0.7626681	0.7471238	0.748219	0.7050135	0.794581	0.7570168	0.775211	0.7934172	0.7709453	0.7343153	0.7705374	0.7630225	0.7443444	0.7050214	0.7501055	0.8395843	0.8318353	0.7992551	0.7966042	0.7865909	0.8366708	0.6457732	0.7841075	0.8	0.8021662	0.7881294	0.808107
cg07770777	ATP11A	0.2420013	0.3113027	0.3146757	0.1905574	0.2757624	0.2481053	0.2334604	0.2737127	0.2447691	0.2767136	0.1988739	0.3022718	0.3026307	0.3801557	0.2880616	0.2630491	0.1776498	0.2877329	0.3044842	0.2781281	0.2325969	0.2414825	0.2603745	0.2983012	0.3527722	0.2596727	0.2665558	0.2417047	0.232524	0.2273428	0.2323547	0.2928515	0.2548654	0.3088348	0.2274562	0.2956082	0.3000434	0.2693686	0.2198389	0.2731823	0.2481337	0.1917017	0.2239287	0.2706237	0.2418485	0.7875521	0.791977	0.7551642	0.7052614	0.6161238	0.6003585	0.6448773	0.5893183	0.6636246	0.6991547	0.7534395	0.7956059	0.6075686	0.6643943	0.6538638	0.5707642	0.426729	0.5569665	0.6880725	0.7687346	0.6898223	0.5948144	0.7576099	0.7026147	0.7487062	0.593236	0.7092169	0.7640793	0.4859129	0.3133612	0.2269703	0.2615209	0.2173628	0.2899555	0.324929	0.310515	0.21867	0.2697662	0.2782471	0.28833	0.2759677	0.2513314
cg23560546	DAPL1	0.3945215	0.3834383	0.410576	0.3666536	0.3007489	0.3085193	0.2664741	0.3646156	0.3831169	0.4242237	0.4842721	0.4083536	0.4753803	0.4438527	0.3429341	0.2488136	0.2353278	0.1752935	0.3927643	0.3535974	0.3008901	0.3309627	0.2301453	0.3861828	0.3468447	0.4183897	0.3428682	0.3306987	0.3572451	0.3555022	0.2158946	0.3799663	0.3913615	0.3111598	0.4960896	0.3907897	0.1819636	0.395333	0.2631359	0.3029098	0.386166	0.154628	0.4145963	0.2832439	0.361975	0.5680761	0.5596686	0.6862875	0.5115651	0.5481068	0.561318	0.6348678	0.4427941	0.6699575	0.5231346	0.6536056	0.6991903	0.6336388	0.6874898	0.5770934	0.5697294	0.5976585	0.6146275	0.5527017	0.621658	0.6152613	0.5794991	0.620436	0.5945466	0.6855769	0.6811324	0.6158721	0.5981989	0.5499465	0.3443927	0.2914858	0.3110635	0.4380094	0.2422239	0.2899361	0.4252812	0.2472568	0.2585415	0.408306	0.3356845	0.3018674	0.3746329
cg24256786	WWC2	0.8309765	0.8201023	0.8075892	0.8389104	0.7492979	0.8172086	0.7750639	0.8592364	0.8149264	0.8337986	0.8303346	0.7902309	0.7887824	0.7401163	0.784549	0.8062608	0.840629	0.8265653	0.8132243	0.7777153	0.7846689	0.8461983	0.8214013	0.8030679	0.8092542	0.7957788	0.7194199	0.8219059	0.8101522	0.8073727	0.7811907	0.7893654	0.8398652	0.8505644	0.8168354	0.8050097	0.7020252	0.8125359	0.8335404	0.8082848	0.7885316	0.8066798	0.8005028	0.8339584	0.8656877	0.8465859	0.8536024	0.808084	0.7948084	0.6978127	0.8045611	0.8027364	0.8349859	0.8231373	0.8349375	0.7587541	0.8105854	0.8136814	0.7341645	0.8211128	0.7918192	0.7777978	0.7291765	0.8083618	0.8142665	0.832673	0.7489692	0.7972078	0.8065903	0.709061	0.821243	0.7818922	0.8344031	0.8266213	0.7880977	0.8253281	0.8073571	0.864746	0.8119273	0.8244619	0.8259484	0.7658256	0.7572693	0.8013053	0.8320388	0.782181	0.813632
cg08640252	NME3	0.1032606	0.1958271	0.2114215	0.01932273	0.1348038	0.2208475	0.05882353	0.1281987	0.1321161	0.1463984	0.08102797	0.1789437	0.2589635	0.2507321	0.2517046	0.1515383	0.04007008	0.166223	0.2106499	0.1416542	0.1563098	0.08701105	0.2581281	0.2041223	0.09503644	0.09844746	0.1325105	0.118938	0.1333988	0.04241931	0.02180463	0.1277242	0.1029768	0.05183903	0.1071714	0.240067	0.1425684	0.0999423	0.05982151	0.1284307	0.2131537	0.04743304	0.1105139	0.1608645	0.105012	0.2851416	0.4071007	0.4135926	0.3990302	0.4079806	0.4349053	0.4663146	0.2392775	0.3930815	0.269867	0.4129873	0.3667059	0.4578258	0.4160597	0.5182829	0.4232849	0.3245534	0.4385062	0.3418731	0.4361046	0.3474092	0.3763899	0.4792436	0.4778323	0.3857091	0.3293258	0.5081373	0.5038714	0.4352522	0.1897042	0.1486528	0.1474343	0.07598738	0.0719083	0.2494074	0.1889756	0.1403693	0.1326128	0.1010379	0.1376667	0.2199757	0.1995683
cg06758350	RUNX1	0.4079709	0.4970962	0.1604212	0.4653706	0.4290979	0.1492644	0.3868561	0.2938922	0.5376137	0.294208	0.377259	0.5080926	0.6070504	0.2259964	0.2448625	0.4324657	0.5304165	0.4459002	0.4851986	0.3888631	0.4659581	0.4533033	0.3250594	0.2490651	0.2649437	0.4191291	0.2770586	0.4754729	0.1824424	0.2832626	0.3489664	0.282185	0.4523012	0.3590639	0.4976901	0.4409606	0.4424141	0.3678385	0.3994086	0.1461579	0.4189897	0.2868824	0.3419607	0.4163575	0.2210198	0.6886636	0.7146875	0.6007774	0.6035187	0.7263064	0.7815269	0.6103593	0.663942	0.6305873	0.806972	0.6411173	0.6562138	0.875612	0.6772122	0.7006351	0.7575598	0.8431989	0.7520278	0.7620159	0.5960413	0.680091	0.7111539	0.5807692	0.7315395	0.6805528	0.7991125	0.8088096	0.695029	0.773837	0.1959616	0.4471705	0.3924653	0.5480403	0.4986243	0.1862649	0.2597428	0.3118426	0.4115179	0.1697177	0.2631579	0.2035623	0.4603371
cg20744362	C22orf34	0.5385652	0.8395435	0.7369567	0.826798	0.5758525	0.6332147	0.9217912	0.5562512	0.8888519	0.8633149	0.7949938	0.8829243	0.6788201	0.6567391	0.4715369	0.6360435	0.8322266	0.6390039	0.8293672	0.8028545	0.8075432	0.879422	0.8933219	0.9036735	0.8424493	0.8703729	0.8820934	0.8321788	0.6527482	0.5649614	0.9177883	0.859283	0.8786831	0.6655478	0.4722396	0.5634027	0.9054183	0.5627803	0.687965	0.8850886	0.8420328	0.6115501	0.9045266	0.9455215	0.6081761	0.58686	0.4788646	0.4402023	0.4631486	0.5848347	0.7266213	0.492269	0.5661903	0.4753645	0.6551952	0.7585537	0.4000338	0.1721082	0.4265817	0.3542571	0.5150049	0.6911447	0.2321465	0.4346334	0.5809721	0.4852144	0.462548	0.6502538	0.5179423	0.4376141	0.6860925	0.4631221	0.3802553	0.4430839	0.5949662	0.5921578	0.8323299	0.6734782	0.7168043	0.9066744	0.6325597	0.3924226	0.850521	0.8479229	0.851165	0.8792624	0.8480017
cg17890940	ELFN1	0.7160032	0.7316164	0.8581204	0.8199354	0.7795483	0.884161	0.7859911	0.8538343	0.8016931	0.8466851	0.7718239	0.8543376	0.8704535	0.8400921	0.8408331	0.786349	0.7696977	0.8184651	0.8480999	0.8504633	0.7645863	0.7707278	0.8347481	0.8598289	0.8302965	0.6846958	0.8203035	0.8381953	0.8412987	0.6180493	0.7789614	0.8038139	0.7358124	0.8859271	0.8282171	0.8251604	0.8101757	0.8153492	0.7551609	0.8355317	0.7769867	0.7898027	0.805153	0.8635492	0.817192	0.370831	0.3973061	0.5501213	0.5575397	0.5936597	0.733053	0.6262057	0.4969411	0.6270728	0.5726019	0.5547733	0.4018691	0.5621858	0.5872388	0.5892056	0.5471646	0.5708286	0.509416	0.4945105	0.5401224	0.6227196	0.4774091	0.6892954	0.5793651	0.572913	0.6459415	0.4522399	0.4851772	0.5644945	0.8041787	0.8441069	0.8829626	0.8452526	0.8561419	0.8701794	0.8176563	0.6711143	0.694406	0.8451813	0.823978	0.7501764	0.7667143
